epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.988,1.02223,4.1611,1.4103,0.53949,0.06793,0.03617,0.01894,1.41847,3.27753,1.9264,0.00332928,0.00332928,0.00332928
2,301.621,1.12646,3.47398,1.47003,0.57794,0.10467,0.05109,0.02534,1.55219,3.27951,2.06828,0.00664063,0.00664063,0.00664063
3,439.486,1.25827,3.41783,1.57407,0.39055,0.06374,0.02355,0.00947,1.77704,3.99757,2.44418,0.00992998,0.00992998,0.00992998
4,576.505,1.30179,3.32126,1.61776,0.46418,0.11954,0.05555,0.02411,1.65462,3.34218,2.18883,0.009901,0.009901,0.009901
5,712.513,1.23158,3.06632,1.56401,0.41201,0.11845,0.07276,0.03803,1.5729,3.29411,2.13887,0.009868,0.009868,0.009868
6,849.806,1.1791,2.88709,1.51615,0.40917,0.17127,0.1199,0.06552,1.34841,2.76951,1.78056,0.009835,0.009835,0.009835
7,986.188,1.13874,2.75234,1.48367,0.41899,0.16288,0.11381,0.06675,1.36124,2.81566,1.81374,0.009802,0.009802,0.009802
8,1123.22,1.10221,2.65404,1.45227,0.48536,0.20637,0.17967,0.10706,1.29076,2.46449,1.7501,0.009769,0.009769,0.009769
9,1259.63,1.07511,2.58749,1.43614,0.36875,0.24933,0.21019,0.12919,1.22612,2.37046,1.64411,0.009736,0.009736,0.009736
10,1395.48,1.05714,2.49585,1.42218,0.52657,0.24703,0.2372,0.15083,1.197,2.2574,1.63332,0.009703,0.009703,0.009703
11,1531.94,1.03662,2.44313,1.40536,0.41284,0.27363,0.23249,0.1488,1.19061,2.30325,1.62981,0.00967,0.00967,0.00967
12,1667.75,1.01814,2.3664,1.39382,0.40901,0.29019,0.26597,0.17165,1.14075,2.21002,1.5864,0.009637,0.009637,0.009637
13,1803.74,1.00451,2.32042,1.38041,0.45162,0.30501,0.28892,0.18671,1.12418,2.07119,1.5579,0.009604,0.009604,0.009604
14,1939.67,0.9891,2.25662,1.36614,0.49575,0.32675,0.32247,0.21835,1.09852,2.01255,1.53462,0.009571,0.009571,0.009571
15,2075.89,0.98306,2.21458,1.36137,0.5635,0.30612,0.33355,0.22582,1.11822,2.02374,1.56563,0.009538,0.009538,0.009538
16,2212.37,0.96706,2.15693,1.34973,0.50632,0.36188,0.36633,0.2539,1.05618,1.84714,1.50189,0.009505,0.009505,0.009505
17,2348.32,0.95976,2.11843,1.34204,0.50646,0.38908,0.40724,0.27978,1.06913,1.79065,1.50909,0.009472,0.009472,0.009472
18,2485.22,0.95455,2.08697,1.33551,0.51114,0.42899,0.41946,0.2983,1.03137,1.75458,1.47781,0.009439,0.009439,0.009439
19,2621.36,0.94185,2.05406,1.33072,0.53009,0.40738,0.43877,0.30686,1.0053,1.68503,1.44083,0.009406,0.009406,0.009406
20,2757.03,0.93291,2.00291,1.3234,0.58247,0.40124,0.45939,0.32337,0.9922,1.66184,1.42532,0.009373,0.009373,0.009373
21,2893.76,0.92465,1.97139,1.32133,0.57682,0.4483,0.48558,0.35228,0.98071,1.6181,1.40865,0.00934,0.00934,0.00934
22,3029.94,0.92213,1.94719,1.31357,0.5965,0.44287,0.48893,0.34544,1.00931,1.61069,1.43925,0.009307,0.009307,0.009307
23,3165.42,0.91398,1.88999,1.30633,0.65206,0.45902,0.53387,0.38482,0.98355,1.53221,1.42112,0.009274,0.009274,0.009274
